anno,gruppo,classe_eta,titolo,valore
2023,italiani dalla nascita,25-49 anni,nessun titolo di studio,446
2023,italiani dalla nascita,25-49 anni,titolo universitario o accademico,78988
2023,italiani dalla nascita,25-49 anni,totale,282206
2023,italiani dalla nascita,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,100488
2023,italiani dalla nascita,50-64 anni,licenza di scuola elementare,7562
2023,italiani dalla nascita,50-64 anni,licenza di scuola media inferiore o di avviamento professionale,112975
2023,italiani dalla nascita,50-64 anni,nessun titolo di studio,1046
2023,italiani dalla nascita,50-64 anni,titolo universitario o accademico,31066
2023,italiani dalla nascita,50-64 anni,totale,253137
2023,italiani dalla nascita,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,59567
2023,italiani dalla nascita,65 anni e più,licenza di scuola elementare,117818
2023,italiani dalla nascita,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,74833
2023,italiani dalla nascita,65 anni e più,nessun titolo di studio,4867
2023,italiani dalla nascita,65 anni e più,titolo universitario o accademico,17869
2023,italiani dalla nascita,65 anni e più,totale,274954
2023,italiani dalla nascita,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,351250
2023,italiani dalla nascita,9 anni e più,licenza di scuola elementare,154174
2023,italiani dalla nascita,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,300407
2023,italiani dalla nascita,9 anni e più,nessun titolo di studio,22946
2023,italiani dalla nascita,9 anni e più,titolo universitario o accademico,135009
2023,italiani dalla nascita,9 anni e più,totale,963786
2023,italiani dalla nascita,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,47402
2023,italiani dalla nascita,9-24 anni,licenza di scuola elementare,27468
2023,italiani dalla nascita,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,54946
2023,italiani dalla nascita,9-24 anni,nessun titolo di studio,16587
2023,italiani dalla nascita,9-24 anni,titolo universitario o accademico,7086
2023,italiani dalla nascita,9-24 anni,totale,153489
2023,stranieri,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,27763
2023,stranieri,25-49 anni,licenza di scuola elementare,4523
2023,stranieri,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,25274
2023,stranieri,25-49 anni,nessun titolo di studio,5492
2023,stranieri,25-49 anni,titolo universitario o accademico,11028
2023,stranieri,25-49 anni,totale,74080
2023,stranieri,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,9232
2023,stranieri,50-64 anni,licenza di scuola elementare,2190
2023,stranieri,50-64 anni,licenza di scuola media inferiore o di avviamento professionale,8155
2023,stranieri,50-64 anni,nessun titolo di studio,2532
2023,stranieri,50-64 anni,titolo universitario o accademico,3111
2023,stranieri,50-64 anni,totale,25220
2023,stranieri,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,2442
2023,stranieri,65 anni e più,licenza di scuola elementare,1312
2023,stranieri,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,2416
2023,stranieri,65 anni e più,nessun titolo di studio,1317
2023,stranieri,65 anni e più,titolo universitario o accademico,1072
2023,stranieri,65 anni e più,totale,8559
2023,stranieri,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,44513
2023,stranieri,9 anni e più,licenza di scuola elementare,14730
2023,stranieri,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,46297
2023,stranieri,9 anni e più,nessun titolo di studio,14317
2023,stranieri,9 anni e più,titolo universitario o accademico,15644
2023,stranieri,9 anni e più,totale,135501
2023,stranieri,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,5076
2023,stranieri,9-24 anni,licenza di scuola elementare,6705
2023,stranieri,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,10452
2023,stranieri,9-24 anni,nessun titolo di studio,4976
2023,stranieri,9-24 anni,titolo universitario o accademico,433
2023,stranieri,9-24 anni,totale,27642
