codice_istat,comune,anno,tipo_struttura,cittadinanza,arrivi,presenze,permanenza_media,stato
017008,Azzano Mella,2019,Es. Extra-Alberghieri,Stranieri,,,,riservato
017008,Azzano Mella,2019,Es. Extra-Alberghieri,Totale,,,,riservato
017008,Azzano Mella,2019,Totale,Italiani,,,,riservato
017008,Azzano Mella,2019,Totale,Stranieri,,,,riservato
017008,Azzano Mella,2019,Totale,Totale,,,,riservato
017008,Azzano Mella,2020,Es. Alberghieri,Italiani,,,,riservato
017008,Azzano Mella,2020,Es. Alberghieri,Stranieri,,,,riservato
017008,Azzano Mella,2020,Es. Alberghieri,Totale,,,,riservato
017008,Azzano Mella,2020,Es. Extra-Alberghieri,Italiani,,,,riservato
017008,Azzano Mella,2020,Es. Extra-Alberghieri,Stranieri,,,,riservato
017008,Azzano Mella,2020,Es. Extra-Alberghieri,Totale,,,,riservato
017008,Azzano Mella,2020,Totale,Italiani,,,,riservato
017008,Azzano Mella,2020,Totale,Stranieri,,,,riservato
017008,Azzano Mella,2020,Totale,Totale,,,,riservato
017008,Azzano Mella,2024,Es. Alberghieri,Italiani,,,,riservato
017008,Azzano Mella,2024,Es. Alberghieri,Stranieri,,,,riservato
017008,Azzano Mella,2024,Es. Alberghieri,Totale,,,,riservato
017008,Azzano Mella,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017008,Azzano Mella,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017008,Azzano Mella,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017008,Azzano Mella,2024,Totale,Italiani,,,,riservato
017008,Azzano Mella,2024,Totale,Stranieri,,,,riservato
017008,Azzano Mella,2024,Totale,Totale,,,,riservato
017009,Bagnolo Mella,2019,Es. Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2019,Es. Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2019,Es. Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2019,Es. Extra-Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2019,Es. Extra-Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2019,Es. Extra-Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2019,Totale,Italiani,,,,riservato
017009,Bagnolo Mella,2019,Totale,Stranieri,,,,riservato
017009,Bagnolo Mella,2019,Totale,Totale,,,,riservato
017009,Bagnolo Mella,2020,Es. Alberghieri,Italiani,,,,riservato
