codice_provincia,provincia,regione,ambito,anno,trimestre,comparto,segmento,ntn,stato
001,Torino,Piemonte,capoluogo,2018,2,pertinenze,depositi_pertinenziali,281.79,definitivo
001,Torino,Piemonte,capoluogo,2018,2,residenziale,totale,3738.96,definitivo
001,Torino,Piemonte,capoluogo,2018,3,pertinenze,box,951.50,definitivo
001,Torino,Piemonte,capoluogo,2018,3,pertinenze,depositi_pertinenziali,152.38,definitivo
001,Torino,Piemonte,capoluogo,2018,3,residenziale,totale,2890.22,definitivo
001,Torino,Piemonte,capoluogo,2018,4,pertinenze,box,1770.86,definitivo
001,Torino,Piemonte,capoluogo,2018,4,pertinenze,depositi_pertinenziali,338.25,definitivo
001,Torino,Piemonte,capoluogo,2018,4,residenziale,totale,3795.08,definitivo
001,Torino,Piemonte,capoluogo,2019,1,pertinenze,box,1194.82,definitivo
001,Torino,Piemonte,capoluogo,2019,1,pertinenze,depositi_pertinenziali,200.78,definitivo
001,Torino,Piemonte,capoluogo,2019,1,residenziale,totale,3155.89,definitivo
001,Torino,Piemonte,capoluogo,2019,2,pertinenze,box,1463.84,definitivo
001,Torino,Piemonte,capoluogo,2019,2,pertinenze,depositi_pertinenziali,224.09,definitivo
001,Torino,Piemonte,capoluogo,2019,2,residenziale,totale,3697.50,definitivo
001,Torino,Piemonte,capoluogo,2019,3,pertinenze,box,983.64,definitivo
001,Torino,Piemonte,capoluogo,2019,3,pertinenze,depositi_pertinenziali,149.74,definitivo
001,Torino,Piemonte,capoluogo,2019,3,residenziale,totale,3013.25,definitivo
001,Torino,Piemonte,capoluogo,2019,4,pertinenze,box,1543.79,definitivo
001,Torino,Piemonte,capoluogo,2019,4,pertinenze,depositi_pertinenziali,301.54,definitivo
001,Torino,Piemonte,capoluogo,2019,4,residenziale,totale,3782.83,definitivo
001,Torino,Piemonte,capoluogo,2020,1,pertinenze,box,1024.70,definitivo
001,Torino,Piemonte,capoluogo,2020,1,pertinenze,depositi_pertinenziali,150.68,definitivo
001,Torino,Piemonte,capoluogo,2020,1,residenziale,totale,2670.75,definitivo
001,Torino,Piemonte,capoluogo,2020,2,pertinenze,box,999.48,definitivo
001,Torino,Piemonte,capoluogo,2020,2,pertinenze,depositi_pertinenziali,201.30,definitivo
001,Torino,Piemonte,capoluogo,2020,2,residenziale,totale,2680.27,definitivo
001,Torino,Piemonte,capoluogo,2020,3,pertinenze,box,1111.20,definitivo
001,Torino,Piemonte,capoluogo,2020,3,pertinenze,depositi_pertinenziali,482.32,definitivo
001,Torino,Piemonte,capoluogo,2020,3,residenziale,totale,2736.64,definitivo
001,Torino,Piemonte,capoluogo,2020,4,pertinenze,box,1693.13,definitivo
001,Torino,Piemonte,capoluogo,2020,4,pertinenze,depositi_pertinenziali,1400.68,definitivo
001,Torino,Piemonte,capoluogo,2020,4,residenziale,totale,3786.44,definitivo
001,Torino,Piemonte,capoluogo,2021,1,pertinenze,box,1474.10,definitivo
001,Torino,Piemonte,capoluogo,2021,1,pertinenze,depositi_pertinenziali,1273.90,definitivo
001,Torino,Piemonte,capoluogo,2021,1,residenziale,totale,3515.43,definitivo
001,Torino,Piemonte,capoluogo,2021,2,pertinenze,box,1753.71,definitivo
001,Torino,Piemonte,capoluogo,2021,2,pertinenze,depositi_pertinenziali,1629.38,definitivo
001,Torino,Piemonte,capoluogo,2021,2,residenziale,totale,4164.83,definitivo
001,Torino,Piemonte,capoluogo,2021,3,pertinenze,box,1196.21,definitivo
001,Torino,Piemonte,capoluogo,2021,3,pertinenze,depositi_pertinenziali,1218.06,definitivo
001,Torino,Piemonte,capoluogo,2021,3,residenziale,totale,3257.59,definitivo
001,Torino,Piemonte,capoluogo,2021,4,pertinenze,box,1684.75,definitivo
001,Torino,Piemonte,capoluogo,2021,4,pertinenze,depositi_pertinenziali,1630.86,definitivo
001,Torino,Piemonte,capoluogo,2021,4,residenziale,totale,4291.57,definitivo
001,Torino,Piemonte,capoluogo,2022,1,pertinenze,box,1483.33,definitivo
001,Torino,Piemonte,capoluogo,2022,1,pertinenze,depositi_pertinenziali,1396.61,definitivo
001,Torino,Piemonte,capoluogo,2022,1,residenziale,totale,3825.97,definitivo
001,Torino,Piemonte,capoluogo,2022,2,pertinenze,box,1616.53,definitivo
001,Torino,Piemonte,capoluogo,2022,2,pertinenze,depositi_pertinenziali,1736.84,definitivo
001,Torino,Piemonte,capoluogo,2022,2,residenziale,totale,4446.54,definitivo
001,Torino,Piemonte,capoluogo,2022,3,pertinenze,box,1257.50,definitivo
001,Torino,Piemonte,capoluogo,2022,3,pertinenze,depositi_pertinenziali,1355.63,definitivo
001,Torino,Piemonte,capoluogo,2022,3,residenziale,totale,3509.67,definitivo
001,Torino,Piemonte,capoluogo,2022,4,pertinenze,box,1976.95,definitivo
001,Torino,Piemonte,capoluogo,2022,4,pertinenze,depositi_pertinenziali,1728.77,definitivo
001,Torino,Piemonte,capoluogo,2022,4,residenziale,totale,4352.02,definitivo
001,Torino,Piemonte,capoluogo,2023,1,pertinenze,box,1370.31,definitivo
001,Torino,Piemonte,capoluogo,2023,1,pertinenze,depositi_pertinenziali,1433.29,definitivo
001,Torino,Piemonte,capoluogo,2023,1,residenziale,totale,3555.32,definitivo
001,Torino,Piemonte,capoluogo,2023,2,pertinenze,box,1638.35,definitivo
001,Torino,Piemonte,capoluogo,2023,2,pertinenze,depositi_pertinenziali,1631.08,definitivo
001,Torino,Piemonte,capoluogo,2023,2,residenziale,totale,3966.40,definitivo
001,Torino,Piemonte,capoluogo,2023,3,pertinenze,box,1202.25,definitivo
001,Torino,Piemonte,capoluogo,2023,3,pertinenze,depositi_pertinenziali,1233.76,definitivo
001,Torino,Piemonte,capoluogo,2023,3,residenziale,totale,3149.04,definitivo
001,Torino,Piemonte,capoluogo,2023,4,pertinenze,box,1724.58,definitivo
001,Torino,Piemonte,capoluogo,2023,4,pertinenze,depositi_pertinenziali,1942.31,definitivo
001,Torino,Piemonte,capoluogo,2023,4,residenziale,totale,4215.78,definitivo
001,Torino,Piemonte,capoluogo,2024,1,pertinenze,box,1311.61,definitivo
001,Torino,Piemonte,capoluogo,2024,1,pertinenze,depositi_pertinenziali,1390.09,definitivo
001,Torino,Piemonte,capoluogo,2024,1,residenziale,totale,3192.69,definitivo
001,Torino,Piemonte,capoluogo,2024,2,pertinenze,box,1548.97,definitivo
001,Torino,Piemonte,capoluogo,2024,2,pertinenze,depositi_pertinenziali,1759.73,definitivo
001,Torino,Piemonte,capoluogo,2024,2,residenziale,totale,3886.42,definitivo
001,Torino,Piemonte,capoluogo,2024,3,pertinenze,box,1164.84,definitivo
001,Torino,Piemonte,capoluogo,2024,3,pertinenze,depositi_pertinenziali,1557.49,definitivo
001,Torino,Piemonte,capoluogo,2024,3,residenziale,totale,3451.73,definitivo
001,Torino,Piemonte,capoluogo,2024,4,pertinenze,box,1909.92,definitivo
001,Torino,Piemonte,capoluogo,2024,4,pertinenze,depositi_pertinenziali,2089.22,definitivo
001,Torino,Piemonte,capoluogo,2024,4,residenziale,totale,4588.85,definitivo
001,Torino,Piemonte,capoluogo,2025,1,pertinenze,box,1899.77,provvisorio
001,Torino,Piemonte,capoluogo,2025,1,pertinenze,depositi_pertinenziali,1605.03,provvisorio
001,Torino,Piemonte,capoluogo,2025,1,residenziale,totale,3583.47,provvisorio
001,Torino,Piemonte,capoluogo,2025,2,pertinenze,box,1799.02,provvisorio
001,Torino,Piemonte,capoluogo,2025,2,pertinenze,depositi_pertinenziali,1995.78,provvisorio
001,Torino,Piemonte,capoluogo,2025,2,residenziale,totale,4325.13,provvisorio
001,Torino,Piemonte,capoluogo,2025,3,pertinenze,box,1564.83,provvisorio
001,Torino,Piemonte,capoluogo,2025,3,pertinenze,depositi_pertinenziali,1676.47,provvisorio
001,Torino,Piemonte,capoluogo,2025,3,residenziale,totale,3677.07,provvisorio
001,Torino,Piemonte,capoluogo,2025,4,pertinenze,box,1850.53,provvisorio
001,Torino,Piemonte,capoluogo,2025,4,pertinenze,depositi_pertinenziali,2109.83,provvisorio
001,Torino,Piemonte,capoluogo,2025,4,residenziale,totale,4565.53,provvisorio
001,Torino,Piemonte,capoluogo,2026,1,pertinenze,box,1636.62,provvisorio
001,Torino,Piemonte,capoluogo,2026,1,pertinenze,depositi_pertinenziali,1891.25,provvisorio
001,Torino,Piemonte,capoluogo,2026,1,residenziale,totale,3913.11,provvisorio
001,Torino,Piemonte,resto_provincia,2011,1,pertinenze,box,2824.20,definitivo
001,Torino,Piemonte,resto_provincia,2011,1,pertinenze,depositi_pertinenziali,181.68,definitivo
001,Torino,Piemonte,resto_provincia,2011,1,residenziale,totale,3617.85,definitivo
001,Torino,Piemonte,resto_provincia,2011,2,pertinenze,box,3532.78,definitivo
001,Torino,Piemonte,resto_provincia,2011,2,pertinenze,depositi_pertinenziali,254.80,definitivo
001,Torino,Piemonte,resto_provincia,2011,2,residenziale,totale,4553.32,definitivo
001,Torino,Piemonte,resto_provincia,2011,3,pertinenze,box,2768.85,definitivo
001,Torino,Piemonte,resto_provincia,2011,3,pertinenze,depositi_pertinenziali,216.54,definitivo
001,Torino,Piemonte,resto_provincia,2011,3,residenziale,totale,3574.25,definitivo
001,Torino,Piemonte,resto_provincia,2011,4,pertinenze,box,3939.95,definitivo
001,Torino,Piemonte,resto_provincia,2011,4,pertinenze,depositi_pertinenziali,331.65,definitivo
