territorio,anno,indicatore,sesso,eta,titolo_studio,cittadinanza,valore
ITC47,2021,employment rate,males,35-44 years,total,total,91.66
ITC47,2021,employment rate,males,35-49 years,total,total,92.07
ITC47,2021,employment rate,males,45-54 years,total,total,93.07
ITC47,2021,employment rate,males,50-64 years,total,total,79.35
ITC47,2021,employment rate,males,50-74 years,total,total,57.97
ITC47,2021,employment rate,males,50-89 years,total,total,47.57
ITC47,2021,employment rate,males,55-64 years,total,total,69.29
ITC47,2021,employment rate,total,15-24 years,total,total,20.37
ITC47,2021,employment rate,total,15-29 years,total,total,39.05
ITC47,2021,employment rate,total,15-34 years,total,total,50.69
ITC47,2021,employment rate,total,15-64 years,total,total,65.72
ITC47,2021,employment rate,total,15-74 years,total,total,57.59
ITC47,2021,employment rate,total,15-89 years,total,total,51.12
ITC47,2021,employment rate,total,18-29 years,total,total,48.75
ITC47,2021,employment rate,total,20-64 years,total,total,71.76
ITC47,2021,employment rate,total,25-34 years,total,total,77.32
ITC47,2021,employment rate,total,35-44 years,total,total,81.09
ITC47,2021,employment rate,total,35-49 years,total,total,81.93
ITC47,2021,employment rate,total,45-54 years,total,total,82.27
ITC47,2021,employment rate,total,50-64 years,total,total,65.34
ITC47,2021,employment rate,total,50-74 years,total,total,47.19
ITC47,2021,employment rate,total,50-89 years,total,total,36.85
ITC47,2021,employment rate,total,55-64 years,total,total,54.81
ITC47,2022,employment rate,females,15-24 years,total,total,14.00
ITC47,2022,employment rate,females,15-29 years,total,total,33.83
ITC47,2022,employment rate,females,15-34 years,total,total,40.81
ITC47,2022,employment rate,females,15-64 years,total,total,54.16
ITC47,2022,employment rate,females,15-74 years,total,total,46.40
ITC47,2022,employment rate,females,15-89 years,total,total,40.24
ITC47,2022,employment rate,females,18-29 years,total,total,45.02
ITC47,2022,employment rate,females,20-64 years,total,total,58.78
ITC47,2022,employment rate,females,25-34 years,total,total,64.65
ITC47,2022,employment rate,females,35-44 years,total,total,71.95
ITC47,2022,employment rate,females,35-49 years,total,total,74.80
ITC47,2022,employment rate,females,45-54 years,total,total,70.66
ITC47,2022,employment rate,females,50-64 years,total,total,46.41
ITC47,2022,employment rate,females,50-74 years,total,total,32.05
ITC47,2022,employment rate,females,50-89 years,total,total,24.11
ITC47,2022,employment rate,females,55-64 years,total,total,38.53
ITC47,2022,employment rate,males,15-24 years,total,total,37.85
ITC47,2022,employment rate,males,15-29 years,total,total,51.56
ITC47,2022,employment rate,males,15-34 years,total,total,62.28
ITC47,2022,employment rate,males,15-64 years,total,total,77.29
ITC47,2022,employment rate,males,15-74 years,total,total,68.31
ITC47,2022,employment rate,males,15-89 years,total,total,61.90
ITC47,2022,employment rate,males,18-29 years,total,total,61.10
ITC47,2022,employment rate,males,20-64 years,total,total,82.87
ITC47,2022,employment rate,males,25-34 years,total,total,89.87
ITC47,2022,employment rate,males,35-44 years,total,total,95.89
ITC47,2022,employment rate,males,35-49 years,total,total,97.10
ITC47,2022,employment rate,males,45-54 years,total,total,97.86
ITC47,2022,employment rate,males,50-64 years,total,total,72.72
ITC47,2022,employment rate,males,50-74 years,total,total,53.84
ITC47,2022,employment rate,males,50-89 years,total,total,43.73
ITC47,2022,employment rate,males,55-64 years,total,total,59.90
ITC47,2022,employment rate,total,15-24 years,total,total,27.16
ITC47,2022,employment rate,total,15-29 years,total,total,43.03
ITC47,2022,employment rate,total,15-34 years,total,total,52.01
ITC47,2022,employment rate,total,15-64 years,total,total,65.95
ITC47,2022,employment rate,total,15-74 years,total,total,57.48
ITC47,2022,employment rate,total,15-89 years,total,total,50.95
ITC47,2022,employment rate,total,18-29 years,total,total,53.83
ITC47,2022,employment rate,total,20-64 years,total,total,71.09
ITC47,2022,employment rate,total,25-34 years,total,total,77.06
ITC47,2022,employment rate,total,35-44 years,total,total,83.39
ITC47,2022,employment rate,total,35-49 years,total,total,86.03
ITC47,2022,employment rate,total,45-54 years,total,total,85.11
ITC47,2022,employment rate,total,50-64 years,total,total,59.68
ITC47,2022,employment rate,total,50-74 years,total,total,42.88
ITC47,2022,employment rate,total,50-89 years,total,total,33.47
ITC47,2022,employment rate,total,55-64 years,total,total,49.23
ITC47,2023,employment rate,females,15-24 years,total,total,23.19
ITC47,2023,employment rate,females,15-29 years,total,total,40.01
ITC47,2023,employment rate,females,15-34 years,total,total,48.39
ITC47,2023,employment rate,females,15-64 years,total,total,56.25
ITC47,2023,employment rate,females,15-74 years,total,total,48.03
ITC47,2023,employment rate,females,15-89 years,total,total,41.71
ITC47,2023,employment rate,females,18-29 years,total,total,50.76
ITC47,2023,employment rate,females,20-64 years,total,total,60.82
ITC47,2023,employment rate,females,25-34 years,total,total,70.04
ITC47,2023,employment rate,females,35-44 years,total,total,74.87
ITC47,2023,employment rate,females,35-49 years,total,total,73.94
ITC47,2023,employment rate,females,45-54 years,total,total,64.90
ITC47,2023,employment rate,females,50-64 years,total,total,48.26
ITC47,2023,employment rate,females,50-74 years,total,total,33.11
ITC47,2023,employment rate,females,50-89 years,total,total,24.96
ITC47,2023,employment rate,females,55-64 years,total,total,44.38
ITC47,2023,employment rate,males,15-24 years,total,total,36.12
ITC47,2023,employment rate,males,15-29 years,total,total,50.84
ITC47,2023,employment rate,males,15-34 years,total,total,61.26
ITC47,2023,employment rate,males,15-64 years,total,total,76.83
ITC47,2023,employment rate,males,15-74 years,total,total,67.95
ITC47,2023,employment rate,males,15-89 years,total,total,61.33
ITC47,2023,employment rate,males,18-29 years,total,total,62.46
ITC47,2023,employment rate,males,20-64 years,total,total,82.82
ITC47,2023,employment rate,males,25-34 years,total,total,88.15
