codice_istat,comune,anno,classe_addetti,indicatore,valore
017004,Alfianello,2021,totale,unita_locali,168
017004,Alfianello,2022,0-9,unita_locali,149
017004,Alfianello,2022,10-49,unita_locali,12
017004,Alfianello,2022,50-249,unita_locali,2
017004,Alfianello,2022,totale,unita_locali,163
017004,Alfianello,2023,0-9,unita_locali,149
017004,Alfianello,2023,10-49,unita_locali,14
017004,Alfianello,2023,50-249,unita_locali,2
017004,Alfianello,2023,totale,unita_locali,165
017005,Anfo,2018,0-9,addetti,68.5
017005,Anfo,2018,totale,addetti,68.5
017005,Anfo,2019,0-9,addetti,63.1
017005,Anfo,2019,totale,addetti,63.1
017005,Anfo,2020,0-9,addetti,60.0
017005,Anfo,2020,totale,addetti,60.0
017005,Anfo,2021,0-9,addetti,59.7
017005,Anfo,2021,totale,addetti,59.7
017005,Anfo,2022,0-9,addetti,66.7
017005,Anfo,2022,totale,addetti,66.7
017005,Anfo,2023,0-9,addetti,66.1
017005,Anfo,2023,totale,addetti,66.1
017005,Anfo,2018,0-9,unita_locali,36
017005,Anfo,2018,totale,unita_locali,36
017005,Anfo,2019,0-9,unita_locali,33
017005,Anfo,2019,totale,unita_locali,33
017005,Anfo,2020,0-9,unita_locali,37
017005,Anfo,2020,totale,unita_locali,37
017005,Anfo,2021,0-9,unita_locali,36
017005,Anfo,2021,totale,unita_locali,36
017005,Anfo,2022,0-9,unita_locali,40
017005,Anfo,2022,totale,unita_locali,40
017005,Anfo,2023,0-9,unita_locali,38
017005,Anfo,2023,totale,unita_locali,38
017006,Angolo Terme,2018,0-9,addetti,224.6
017006,Angolo Terme,2018,10-49,addetti,22.6
017006,Angolo Terme,2018,totale,addetti,247.2
017006,Angolo Terme,2019,0-9,addetti,233.4
017006,Angolo Terme,2019,10-49,addetti,21.5
017006,Angolo Terme,2019,totale,addetti,254.9
017006,Angolo Terme,2020,0-9,addetti,232.8
017006,Angolo Terme,2020,10-49,addetti,9.8
017006,Angolo Terme,2020,totale,addetti,242.6
017006,Angolo Terme,2021,0-9,addetti,226.6
017006,Angolo Terme,2021,10-49,addetti,11.1
017006,Angolo Terme,2021,totale,addetti,237.7
017006,Angolo Terme,2022,0-9,addetti,242.1
017006,Angolo Terme,2022,10-49,addetti,23.1
017006,Angolo Terme,2022,totale,addetti,265.1
017006,Angolo Terme,2023,0-9,addetti,248.9
017006,Angolo Terme,2023,10-49,addetti,23.9
017006,Angolo Terme,2023,totale,addetti,272.9
017006,Angolo Terme,2018,0-9,unita_locali,131
017006,Angolo Terme,2018,10-49,unita_locali,2
017006,Angolo Terme,2018,totale,unita_locali,133
017006,Angolo Terme,2019,0-9,unita_locali,126
017006,Angolo Terme,2019,10-49,unita_locali,2
017006,Angolo Terme,2019,totale,unita_locali,128
017006,Angolo Terme,2020,0-9,unita_locali,132
017006,Angolo Terme,2020,10-49,unita_locali,1
017006,Angolo Terme,2020,totale,unita_locali,133
017006,Angolo Terme,2021,0-9,unita_locali,137
017006,Angolo Terme,2021,10-49,unita_locali,1
017006,Angolo Terme,2021,totale,unita_locali,138
017006,Angolo Terme,2022,0-9,unita_locali,139
017006,Angolo Terme,2022,10-49,unita_locali,2
017006,Angolo Terme,2022,totale,unita_locali,141
017006,Angolo Terme,2023,0-9,unita_locali,138
017006,Angolo Terme,2023,10-49,unita_locali,2
017006,Angolo Terme,2023,totale,unita_locali,140
017007,Artogne,2018,0-9,addetti,528.9
017007,Artogne,2018,10-49,addetti,337.2
017007,Artogne,2018,50-249,addetti,409.1
017007,Artogne,2018,totale,addetti,1275.2
017007,Artogne,2019,0-9,addetti,526.5
017007,Artogne,2019,10-49,addetti,385.0
017007,Artogne,2019,250+,addetti,284.1
017007,Artogne,2019,50-249,addetti,190.7
017007,Artogne,2019,totale,addetti,1386.3
017007,Artogne,2020,0-9,addetti,509.3
017007,Artogne,2020,10-49,addetti,431.6
017007,Artogne,2020,50-249,addetti,423.6
017007,Artogne,2020,totale,addetti,1364.5
017007,Artogne,2021,0-9,addetti,545.2
017007,Artogne,2021,10-49,addetti,462.8
017007,Artogne,2021,50-249,addetti,262.0
017007,Artogne,2021,totale,addetti,1270.0
017007,Artogne,2022,0-9,addetti,534.5
017007,Artogne,2022,10-49,addetti,503.7
017007,Artogne,2022,50-249,addetti,265.9
017007,Artogne,2022,totale,addetti,1304.1
017007,Artogne,2023,0-9,addetti,540.4
017007,Artogne,2023,10-49,addetti,476.9
017007,Artogne,2023,50-249,addetti,213.5
017007,Artogne,2023,totale,addetti,1230.8
017007,Artogne,2018,0-9,unita_locali,257
017007,Artogne,2018,10-49,unita_locali,18
017007,Artogne,2018,50-249,unita_locali,3
