codice_istat,comune,capoluogo,popolazione_2024,unita_locali_2023,addetti_2023,addetti_per_100_abitanti,presenze_turistiche_2024
017165,Roncadelle,0,9305,983,5571.3,59.9,1484
017166,Rovato,0,19649,1881,7898.6,40.2,10375
017167,Rudiano,0,5930,448,1533.4,25.9,
017168,Sabbio Chiese,0,4091,316,1149.8,28.1,625
017169,Sale Marasino,0,3228,291,990.1,30.7,21133
017170,Salò,0,10326,1487,4307.2,41.7,263009
017171,San Felice del Benaco,0,3433,375,1344.7,39.2,820700
017172,San Gervasio Bresciano,0,2665,137,565.0,21.2,
017173,San Zeno Naviglio,0,4721,552,2924.4,61.9,
017174,Sarezzo,0,13219,1061,5103.8,38.6,
017175,Saviore dell'Adamello,0,781,47,78.3,10.0,1646
017176,Sellero,0,1367,102,691.8,50.6,157
017177,Seniga,0,1438,92,444.2,30.9,
017178,Serle,0,3083,175,336.1,10.9,
017179,Sirmione,0,8368,1084,3915.3,46.8,1406590
017180,Soiano del Lago,0,1941,243,591.7,30.5,53726
017181,Sonico,0,1193,141,621.7,52.1,8905
017182,Sulzano,0,1961,174,301.1,15.4,30138
017183,Tavernole sul Mella,0,1214,128,374.2,30.8,953
017184,Temù,0,1148,162,409.8,35.7,69361
017185,Tignale,0,1145,174,405.8,35.4,419716
017186,Torbole Casaglia,0,6429,470,2834.4,44.1,
017187,Toscolano-Maderno,0,7651,675,1756.4,23.0,626780
017188,Travagliato,0,13944,1333,6143.7,44.1,4927
017189,Tremosine sul Garda,0,2094,225,511.0,24.4,356856
017190,Trenzano,0,5526,440,1190.6,21.5,760
017191,Treviso Bresciano,0,532,31,56.0,10.5,1305
017192,Urago d'Oglio,0,3789,243,586.4,15.5,
017193,Vallio Terme,0,1435,123,259.9,18.1,1229
017194,Valvestino,0,167,16,19.6,11.7,51
017195,Verolanuova,0,8118,674,3921.3,48.3,2568
017196,Verolavecchia,0,3866,262,839.4,21.7,
017197,Vestone,0,4147,390,2543.0,61.3,
017198,Vezza d'Oglio,0,1469,155,421.9,28.7,23757
017199,Villa Carcina,0,10728,766,3374.9,31.5,
017200,Villachiara,0,1355,62,171.6,12.7,
017201,Villanuova sul Clisi,0,5889,608,1859.2,31.6,11621
017202,Vione,0,619,59,101.2,16.3,6125
017203,Visano,0,1990,176,1322.1,66.4,
017204,Vobarno,0,8489,584,3269.3,38.5,7606
017205,Zone,0,1032,72,219.1,21.2,17032
017206,Piancogno,0,4783,386,1274.7,26.7,11315
