territorio,nome_territorio,anno,ateco,settore,indicatore,valore
017029,Brescia,2021,72,scientific research and development,addetti,159.2
017029,Brescia,2021,73,advertising and market research,addetti,302.2
017029,Brescia,2021,74,"other professional, scientific and technical activities",addetti,1495.9
017029,Brescia,2021,75,veterinary activities,addetti,78.9
017029,Brescia,2021,77,rental and leasing activities,addetti,135.2
017029,Brescia,2021,78,employment activities,addetti,5049.6
017029,Brescia,2021,79,"travel agency, tour operator and other reservation service and related activities",addetti,225.2
017029,Brescia,2021,80,security and investigation activities,addetti,1243.7
017029,Brescia,2021,81,services to buildings and landscape activities,addetti,3970.9
017029,Brescia,2021,82,"office administrative, office support and other business support activities",addetti,2241.3
017029,Brescia,2021,85,education,addetti,1116.6
017029,Brescia,2021,86,human health activities,addetti,4282.2
017029,Brescia,2021,87,residential care activities,addetti,506.7
017029,Brescia,2021,88,social work activities without accommodation,addetti,2031.1
017029,Brescia,2021,90,"creative, arts and entertainment activities",addetti,454.6
017029,Brescia,2021,91,"libraries, archives, museums and other cultural activities",addetti,147.4
017029,Brescia,2021,92,gambling and betting activities,addetti,87.9
017029,Brescia,2021,93,sports activities and amusement and recreation activities,addetti,327.8
017029,Brescia,2021,95,repair of computers and personal and household goods,addetti,268.9
017029,Brescia,2021,96,other personal service activities,addetti,2636.0
017029,Brescia,2022,08,other mining and quarrying,addetti,21.5
017029,Brescia,2022,10,manufacture of food products,addetti,757.0
017029,Brescia,2022,11,manufacture of beverages,addetti,17.0
017029,Brescia,2022,13,manufacture of textiles,addetti,121.7
017029,Brescia,2022,14,manufacture of wearing apparel,addetti,336.4
017029,Brescia,2022,15,manufacture of leather and related products,addetti,20.4
017029,Brescia,2022,16,"manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",addetti,57.1
017029,Brescia,2022,17,manufacture of paper and paper products,addetti,27.4
017029,Brescia,2022,18,printing and reproduction of recorded media,addetti,221.5
017029,Brescia,2022,19,manufacture of coke and refined petroleum products,addetti,12.8
017029,Brescia,2022,20,manufacture of chemicals and chemical products,addetti,673.6
017029,Brescia,2022,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,addetti,211.3
017029,Brescia,2022,22,manufacture of rubber and plastic products,addetti,285.4
017029,Brescia,2022,23,manufacture of other non-metallic mineral products,addetti,216.2
017029,Brescia,2022,24,manufacture of basic metals,addetti,1758.8
017029,Brescia,2022,25,"manufacture of fabricated metal products, except machinery and equipment",addetti,1818.8
017029,Brescia,2022,26,"manufacture of computer, electronic and optical products",addetti,412.0
017029,Brescia,2022,27,manufacture of electrical equipment and of non-electric domestic appliances,addetti,841.9
017029,Brescia,2022,28,manufacture of machinery and equipment n.e.c.,addetti,3032.8
017029,Brescia,2022,29,"manufacture of motor vehicles, trailers and semi-trailers",addetti,1677.2
017029,Brescia,2022,30,manufacture of other transport equipment,addetti,49.8
017029,Brescia,2022,31,manufacture of furniture,addetti,69.9
017029,Brescia,2022,32,other manufacturing,addetti,335.1
017029,Brescia,2022,33,repair and installation of machinery and equipment,addetti,572.4
017029,Brescia,2022,35,"electricity, gas, steam and air conditioning supply",addetti,1233.5
017029,Brescia,2022,36,"water collection, treatment and supply",addetti,245.6
017029,Brescia,2022,37,sewerage,addetti,4.9
017029,Brescia,2022,38,"waste collection, treatment and disposal activities, materials recovery",addetti,1201.7
017029,Brescia,2022,39,remediation activities and other waste management services,addetti,9.2
017029,Brescia,2022,41,construction of buildings,addetti,1463.0
017029,Brescia,2022,42,civil engineering,addetti,494.3
017029,Brescia,2022,43,specialised construction activities,addetti,3464.0
017029,Brescia,2022,45,wholesale and retail trade and repair of motor vehicles and motorcycles,addetti,2132.0
017029,Brescia,2022,46,"wholesale trade, except of motor vehicles and motorcycles",addetti,6623.7
017029,Brescia,2022,47,"retail trade, except of motor vehicles and motorcycles",addetti,7972.5
017029,Brescia,2022,49,land transport and transport via pipelines,addetti,2611.0
017029,Brescia,2022,52,warehousing and support activities for transportation,addetti,2173.0
017029,Brescia,2022,53,postal and courier activities,addetti,680.5
017029,Brescia,2022,55,accommodation,addetti,401.2
017029,Brescia,2022,56,food service activities,addetti,6859.4
017029,Brescia,2022,58,publishing activities,addetti,219.9
017029,Brescia,2022,59,"motion picture, video and television programme production, sound recording and music publishing activities",addetti,129.7
017029,Brescia,2022,60,programming and broadcasting activities,addetti,34.2
017029,Brescia,2022,61,telecommunications,addetti,542.5
017029,Brescia,2022,62,"computer programming, consultancy and related activities",addetti,2298.9
017029,Brescia,2022,63,information service activities,addetti,1402.5
017029,Brescia,2022,64,"financial service activities, except insurance and pension funding",addetti,2796.0
017029,Brescia,2022,65,"insurance, reinsurance and pension funding, except compulsory social security",addetti,114.1
017029,Brescia,2022,66,activities auxiliary to financial services and insurance activities,addetti,1478.7
017029,Brescia,2022,68,real estate activities,addetti,2231.4
017029,Brescia,2022,69,legal and accounting activities,addetti,5413.2
017029,Brescia,2022,70,"activities of head offices, management consultancy activities",addetti,2190.9
017029,Brescia,2022,71,"architectural and engineering activities, technical testing and analysis",addetti,1898.9
017029,Brescia,2022,72,scientific research and development,addetti,184.3
017029,Brescia,2022,73,advertising and market research,addetti,295.5
017029,Brescia,2022,74,"other professional, scientific and technical activities",addetti,1748.8
017029,Brescia,2022,75,veterinary activities,addetti,83.1
017029,Brescia,2022,77,rental and leasing activities,addetti,202.0
017029,Brescia,2022,78,employment activities,addetti,5032.1
017029,Brescia,2022,79,"travel agency, tour operator and other reservation service and related activities",addetti,200.9
017029,Brescia,2022,80,security and investigation activities,addetti,746.3
017029,Brescia,2022,81,services to buildings and landscape activities,addetti,4215.1
017029,Brescia,2022,82,"office administrative, office support and other business support activities",addetti,1947.3
017029,Brescia,2022,85,education,addetti,1180.0
017029,Brescia,2022,86,human health activities,addetti,4321.2
017029,Brescia,2022,87,residential care activities,addetti,512.0
017029,Brescia,2022,88,social work activities without accommodation,addetti,2295.6
017029,Brescia,2022,90,"creative, arts and entertainment activities",addetti,405.2
017029,Brescia,2022,91,"libraries, archives, museums and other cultural activities",addetti,139.8
017029,Brescia,2022,92,gambling and betting activities,addetti,71.8
017029,Brescia,2022,93,sports activities and amusement and recreation activities,addetti,413.1
017029,Brescia,2022,95,repair of computers and personal and household goods,addetti,277.4
017029,Brescia,2022,96,other personal service activities,addetti,2788.1
017029,Brescia,2023,08,other mining and quarrying,addetti,15.9
017029,Brescia,2023,10,manufacture of food products,addetti,688.3
017029,Brescia,2023,11,manufacture of beverages,addetti,17.9
017029,Brescia,2023,13,manufacture of textiles,addetti,122.0
017029,Brescia,2023,14,manufacture of wearing apparel,addetti,335.5
017029,Brescia,2023,15,manufacture of leather and related products,addetti,22.6
017029,Brescia,2023,16,"manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",addetti,84.0
017029,Brescia,2023,17,manufacture of paper and paper products,addetti,25.8
017029,Brescia,2023,18,printing and reproduction of recorded media,addetti,291.0
017029,Brescia,2023,19,manufacture of coke and refined petroleum products,addetti,2.0
017029,Brescia,2023,20,manufacture of chemicals and chemical products,addetti,718.0
