territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intellectual property violations,INTPROP,11.20
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",kidnappings,KIDNAPP,4.20
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides of mafia,MAFIAHOM,0.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mafia criminal association,MAFIASS,0.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",manslaughter,MANSHOM,0.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mass murder,MASSMURD,0.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",menaces,MENACE,159.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",money laundering,MONEYLAU,1.90
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",moped theft,MOPETHEF,70.10
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",motorcycle theft,MOTORTHEF,22.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",offences,OFFENCE,124.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",other crimes,OTHCRIM,755.60
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",pickpocketing,PICKTHEF,150.10
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",child pornography and possession of paedo-pornographic materials,PORNO,1.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",post office robbery,POSTROB,1.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",exploitation and abetting prostitution,PROSTI,3.80
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",sexual violence,RAPE,10.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",sexual activity with a minor,RAPEUN18,0.60
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",receiving stolen goods,RECEIV,43.80
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides from road accident,ROADHOM,8.20
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",robberies,ROBBER,69.10
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides for theft or robbery,ROBBHOM,0.10
