codice_istat,comune,anno,semestre,fascia,zona,link_zona,tipologia,stato,stato_prevalente,vendita_min,vendita_max,base_vendita,affitto_min,affitto_max,base_affitto
017001,Acquafredda,2009,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,800,1050,lorda,3.0,3.9,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1000,1350,lorda,3.6,4.8,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Autorimesse,NORMALE,P,470,590,lorda,2.0,2.6,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Box,NORMALE,P,520,650,lorda,2.1,2.7,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,330,410,lorda,1.6,2.2,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,385,485,lorda,2.3,3.0,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Laboratori,NORMALE,P,435,520,lorda,2.6,3.2,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Magazzini,NORMALE,P,345,450,lorda,2.1,2.8,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Negozi,NORMALE,P,1000,1250,lorda,5.8,7.2,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,370,460,lorda,1.5,1.8,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,265,335,lorda,1.1,1.3,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Uffici,NORMALE,P,810,1100,lorda,3.4,5.0,netta
017001,Acquafredda,2009,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,860,1100,lorda,3.3,4.1,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,800,1050,lorda,3.0,3.9,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1000,1350,lorda,3.6,4.8,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Autorimesse,NORMALE,P,470,590,lorda,2.0,2.6,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Box,NORMALE,P,520,650,lorda,2.1,2.7,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,330,410,lorda,1.6,2.2,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,385,485,lorda,2.3,3.0,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Laboratori,NORMALE,P,435,520,lorda,2.6,3.2,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Magazzini,NORMALE,P,345,450,lorda,2.1,2.8,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Negozi,NORMALE,P,1000,1250,lorda,5.8,7.2,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,370,460,lorda,1.5,1.8,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,265,335,lorda,1.1,1.3,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Uffici,NORMALE,P,810,1100,lorda,3.4,5.0,netta
017001,Acquafredda,2010,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,860,1100,lorda,3.3,4.1,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,900,1100,lorda,2.7,3.5,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1050,1450,lorda,3.2,4.3,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Autorimesse,NORMALE,P,470,590,lorda,1.8,2.3,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Box,NORMALE,P,520,650,lorda,1.9,2.4,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Magazzini,NORMALE,P,345,450,lorda,1.9,2.6,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Negozi,NORMALE,P,1000,1250,lorda,5.3,6.6,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,370,460,lorda,1.4,1.6,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,265,335,lorda,1.0,1.2,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Uffici,NORMALE,P,900,1100,lorda,3.2,4.8,netta
017001,Acquafredda,2011,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,1000,1200,lorda,3.0,3.7,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,880,1100,lorda,2.6,3.4,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1000,1400,lorda,3.1,4.2,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Autorimesse,NORMALE,P,460,580,lorda,1.8,2.3,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Box,NORMALE,P,510,640,lorda,1.9,2.4,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,360,450,lorda,1.4,1.6,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,260,330,lorda,1.0,1.2,netta
017001,Acquafredda,2012,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1100,lorda,3.1,4.7,netta
