codice_istat,comune,anno,semestre,tipologia,mercato,base_superficie,zone,minimo,massimo,media
017001,Acquafredda,2009,2,Ville e Villini,vendita,lorda,1,860,1100,980
017001,Acquafredda,2010,2,Abitazioni civili,affitto,netta,1,3.0,3.9,3.5
017001,Acquafredda,2010,2,Abitazioni civili,vendita,lorda,1,800,1050,925
017001,Acquafredda,2010,2,Autorimesse,affitto,netta,1,2.0,2.6,2.3
017001,Acquafredda,2010,2,Autorimesse,vendita,lorda,1,470,590,530
017001,Acquafredda,2010,2,Box,affitto,netta,1,2.1,2.7,2.4
017001,Acquafredda,2010,2,Box,vendita,lorda,1,520,650,585
017001,Acquafredda,2010,2,Capannoni industriali,affitto,netta,1,1.6,2.2,1.9
017001,Acquafredda,2010,2,Capannoni industriali,vendita,lorda,1,330,410,370
017001,Acquafredda,2010,2,Capannoni tipici,affitto,netta,1,2.3,3.0,2.6
017001,Acquafredda,2010,2,Capannoni tipici,vendita,lorda,1,385,485,435
017001,Acquafredda,2010,2,Laboratori,affitto,netta,1,2.6,3.2,2.9
017001,Acquafredda,2010,2,Laboratori,vendita,lorda,1,435,520,478
017001,Acquafredda,2010,2,Magazzini,affitto,netta,1,2.1,2.8,2.5
017001,Acquafredda,2010,2,Magazzini,vendita,lorda,1,345,450,398
017001,Acquafredda,2010,2,Negozi,affitto,netta,1,5.8,7.2,6.5
017001,Acquafredda,2010,2,Negozi,vendita,lorda,1,1000,1250,1125
017001,Acquafredda,2010,2,Posti auto coperti,affitto,netta,1,1.5,1.8,1.6
017001,Acquafredda,2010,2,Posti auto coperti,vendita,lorda,1,370,460,415
017001,Acquafredda,2010,2,Posti auto scoperti,affitto,netta,1,1.1,1.3,1.2
017001,Acquafredda,2010,2,Posti auto scoperti,vendita,lorda,1,265,335,300
017001,Acquafredda,2010,2,Uffici,affitto,netta,1,3.4,5.0,4.2
017001,Acquafredda,2010,2,Uffici,vendita,lorda,1,810,1100,955
017001,Acquafredda,2010,2,Ville e Villini,affitto,netta,1,3.3,4.1,3.7
017001,Acquafredda,2010,2,Ville e Villini,vendita,lorda,1,860,1100,980
017001,Acquafredda,2011,2,Abitazioni civili,affitto,netta,1,2.7,3.5,3.1
017001,Acquafredda,2011,2,Abitazioni civili,vendita,lorda,1,900,1100,1000
017001,Acquafredda,2011,2,Autorimesse,affitto,netta,1,1.8,2.3,2.0
017001,Acquafredda,2011,2,Autorimesse,vendita,lorda,1,470,590,530
017001,Acquafredda,2011,2,Box,affitto,netta,1,1.9,2.4,2.1
017001,Acquafredda,2011,2,Box,vendita,lorda,1,520,650,585
017001,Acquafredda,2011,2,Capannoni industriali,affitto,netta,1,1.7,2.3,2.0
017001,Acquafredda,2011,2,Capannoni industriali,vendita,lorda,1,350,440,395
017001,Acquafredda,2011,2,Capannoni tipici,affitto,netta,1,2.4,3.3,2.8
017001,Acquafredda,2011,2,Capannoni tipici,vendita,lorda,1,410,520,465
017001,Acquafredda,2011,2,Laboratori,affitto,netta,1,2.8,3.5,3.1
017001,Acquafredda,2011,2,Laboratori,vendita,lorda,1,470,560,515
017001,Acquafredda,2011,2,Magazzini,affitto,netta,1,1.9,2.6,2.2
017001,Acquafredda,2011,2,Magazzini,vendita,lorda,1,345,450,398
017001,Acquafredda,2011,2,Negozi,affitto,netta,1,5.3,6.6,5.9
017001,Acquafredda,2011,2,Negozi,vendita,lorda,1,1000,1250,1125
017001,Acquafredda,2011,2,Posti auto coperti,affitto,netta,1,1.4,1.6,1.5
017001,Acquafredda,2011,2,Posti auto coperti,vendita,lorda,1,370,460,415
017001,Acquafredda,2011,2,Posti auto scoperti,affitto,netta,1,1.0,1.2,1.1
017001,Acquafredda,2011,2,Posti auto scoperti,vendita,lorda,1,265,335,300
017001,Acquafredda,2011,2,Uffici,affitto,netta,1,3.2,4.8,4.0
017001,Acquafredda,2011,2,Uffici,vendita,lorda,1,900,1100,1000
017001,Acquafredda,2011,2,Ville e Villini,affitto,netta,1,3.0,3.7,3.4
017001,Acquafredda,2011,2,Ville e Villini,vendita,lorda,1,1000,1200,1100
017001,Acquafredda,2012,2,Abitazioni civili,affitto,netta,1,2.6,3.4,3.0
017001,Acquafredda,2012,2,Abitazioni civili,vendita,lorda,1,880,1100,990
017001,Acquafredda,2012,2,Autorimesse,affitto,netta,1,1.8,2.3,2.0
017001,Acquafredda,2012,2,Autorimesse,vendita,lorda,1,460,580,520
