codice_istat,comune,anno,tavola,indicatore,num_memb,num_fr_menb,valore
017001,Acquafredda,2021,tutte,famiglie al 31 dicembre,totale,totale,620
017001,Acquafredda,2022,tutte,famiglie al 31 dicembre,1,totale,157
017001,Acquafredda,2022,tutte,famiglie al 31 dicembre,2,totale,193
017001,Acquafredda,2022,tutte,famiglie al 31 dicembre,3,totale,139
017001,Acquafredda,2022,tutte,famiglie al 31 dicembre,4,totale,97
017001,Acquafredda,2022,tutte,famiglie al 31 dicembre,5,totale,20
017001,Acquafredda,2022,tutte,famiglie al 31 dicembre,6 e più,totale,11
017001,Acquafredda,2022,tutte,famiglie al 31 dicembre,totale,totale,617
017001,Acquafredda,2023,tutte,famiglie al 31 dicembre,1,totale,159
017001,Acquafredda,2023,tutte,famiglie al 31 dicembre,2,totale,200
017001,Acquafredda,2023,tutte,famiglie al 31 dicembre,3,totale,138
017001,Acquafredda,2023,tutte,famiglie al 31 dicembre,4,totale,94
017001,Acquafredda,2023,tutte,famiglie al 31 dicembre,5,totale,25
017001,Acquafredda,2023,tutte,famiglie al 31 dicembre,6 e più,totale,11
017001,Acquafredda,2023,tutte,famiglie al 31 dicembre,totale,totale,627
017001,Acquafredda,2024,tutte,famiglie al 31 dicembre,1,totale,166
017001,Acquafredda,2024,tutte,famiglie al 31 dicembre,2,totale,201
017001,Acquafredda,2024,tutte,famiglie al 31 dicembre,3,totale,126
017001,Acquafredda,2024,tutte,famiglie al 31 dicembre,4,totale,96
017001,Acquafredda,2024,tutte,famiglie al 31 dicembre,5,totale,28
017001,Acquafredda,2024,tutte,famiglie al 31 dicembre,6 e più,totale,11
017001,Acquafredda,2024,tutte,famiglie al 31 dicembre,totale,totale,628
017001,Acquafredda,2020,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,1,totale,16
017001,Acquafredda,2020,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,2,totale,6
017001,Acquafredda,2020,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,3,totale,10
017001,Acquafredda,2020,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,4 e più,totale,20
017001,Acquafredda,2020,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,totale,totale,52
017001,Acquafredda,2021,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,1,totale,18
017001,Acquafredda,2021,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,2,totale,5
017001,Acquafredda,2021,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,3,totale,7
017001,Acquafredda,2021,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,4 e più,totale,22
017001,Acquafredda,2021,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,totale,totale,52
017001,Acquafredda,2022,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,1,totale,20
017001,Acquafredda,2022,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,2,totale,6
017001,Acquafredda,2022,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,3,totale,7
017001,Acquafredda,2022,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,4 e più,totale,22
017001,Acquafredda,2022,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,totale,totale,55
017001,Acquafredda,2023,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,1,totale,16
017001,Acquafredda,2023,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,2,totale,9
017001,Acquafredda,2023,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,3,totale,8
017001,Acquafredda,2023,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,4 e più,totale,21
017001,Acquafredda,2023,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,totale,totale,54
017001,Acquafredda,2024,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,1,totale,17
017001,Acquafredda,2024,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,2,totale,8
017001,Acquafredda,2024,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,3,totale,9
017001,Acquafredda,2024,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,4 e più,totale,17
017001,Acquafredda,2024,tutti_stranieri,famiglie con tutti i componenti stranieri al 31 dicembre,totale,totale,51
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,57
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,57
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,22
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,16
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,38
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,20
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,2,2
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,16
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,38
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,32
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,5
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,8
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,40
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,85
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,131
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,23
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,24
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,40
017002,Adro,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,218
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,51
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,51
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,25
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,20
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,45
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,18
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,2,3
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,17
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,38
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,30
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,6
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,8
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,39
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,83
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,124
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,29
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,25
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,39
017002,Adro,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,217
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,51
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,51
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,29
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,18
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,47
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,14
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,2,2
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,16
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,32
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,36
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,9
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,5
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,33
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,83
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,130
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,29
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,21
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,33
017002,Adro,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,213
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,52
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,52
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,25
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,22
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,47
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,21
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,2,6
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,19
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,46
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,32
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,7
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,4
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,28
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,71
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,130
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,35
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,23
