codice_istat,comune,anno,indicatore,valore
017029,Brescia,2021,nati,1406
017029,Brescia,2022,nati,1356
017029,Brescia,2023,nati,1418
017029,Brescia,2024,nati,1339
017029,Brescia,2019,popolazione_censita,196340
017029,Brescia,2020,popolazione_censita,197304
017029,Brescia,2021,popolazione_censita,195906
017029,Brescia,2022,popolazione_censita,197236
017029,Brescia,2023,popolazione_censita,198259
017029,Brescia,2024,popolazione_censita,199853
017029,Brescia,2019,popolazione_fine,197673
017029,Brescia,2020,popolazione_fine,195771
017029,Brescia,2021,popolazione_fine,197549
017029,Brescia,2022,popolazione_fine,197018
017029,Brescia,2023,popolazione_fine,198437
017029,Brescia,2024,popolazione_fine,199756
017029,Brescia,2019,popolazione_inizio,196134
017029,Brescia,2020,popolazione_inizio,196340
017029,Brescia,2021,popolazione_inizio,197304
017029,Brescia,2022,popolazione_inizio,195906
017029,Brescia,2023,popolazione_inizio,197236
017029,Brescia,2024,popolazione_inizio,198259
017029,Brescia,2019,variazioni_territoriali,0
017029,Brescia,2020,variazioni_territoriali,0
017029,Brescia,2021,variazioni_territoriali,0
017029,Brescia,2022,variazioni_territoriali,0
017029,Brescia,2023,variazioni_territoriali,0
017029,Brescia,2024,variazioni_territoriali,0
017030,Brione,2019,aggiustamento_statistico,1
017030,Brione,2020,aggiustamento_statistico,6
017030,Brione,2021,aggiustamento_statistico,3
017030,Brione,2022,aggiustamento_statistico,0
017030,Brione,2023,aggiustamento_statistico,-2
017030,Brione,2024,aggiustamento_statistico,-6
017030,Brione,2019,emigrati_estero,1
017030,Brione,2020,emigrati_estero,1
017030,Brione,2021,emigrati_estero,3
017030,Brione,2022,emigrati_estero,1
017030,Brione,2023,emigrati_estero,5
017030,Brione,2024,emigrati_estero,3
017030,Brione,2019,emigrati_interni,19
017030,Brione,2020,emigrati_interni,17
017030,Brione,2021,emigrati_interni,49
017030,Brione,2022,emigrati_interni,24
017030,Brione,2023,emigrati_interni,26
017030,Brione,2024,emigrati_interni,16
017030,Brione,2019,immigrati_estero,5
017030,Brione,2020,immigrati_estero,2
017030,Brione,2021,immigrati_estero,3
017030,Brione,2022,immigrati_estero,3
017030,Brione,2023,immigrati_estero,6
017030,Brione,2024,immigrati_estero,6
017030,Brione,2019,immigrati_interni,30
017030,Brione,2020,immigrati_interni,32
017030,Brione,2021,immigrati_interni,33
017030,Brione,2022,immigrati_interni,31
017030,Brione,2023,immigrati_interni,31
017030,Brione,2024,immigrati_interni,28
017030,Brione,2019,morti,10
017030,Brione,2020,morti,5
017030,Brione,2021,morti,4
017030,Brione,2022,morti,4
017030,Brione,2023,morti,7
017030,Brione,2024,morti,11
017030,Brione,2019,nati,12
017030,Brione,2020,nati,4
017030,Brione,2021,nati,7
017030,Brione,2022,nati,7
017030,Brione,2023,nati,4
017030,Brione,2024,nati,6
017030,Brione,2019,popolazione_censita,726
017030,Brione,2020,popolazione_censita,747
017030,Brione,2021,popolazione_censita,737
017030,Brione,2022,popolazione_censita,749
017030,Brione,2023,popolazione_censita,750
017030,Brione,2024,popolazione_censita,754
017030,Brione,2019,popolazione_fine,725
017030,Brione,2020,popolazione_fine,741
017030,Brione,2021,popolazione_fine,734
017030,Brione,2022,popolazione_fine,749
017030,Brione,2023,popolazione_fine,752
017030,Brione,2024,popolazione_fine,760
017030,Brione,2019,popolazione_inizio,708
017030,Brione,2020,popolazione_inizio,726
017030,Brione,2021,popolazione_inizio,747
017030,Brione,2022,popolazione_inizio,737
017030,Brione,2023,popolazione_inizio,749
017030,Brione,2024,popolazione_inizio,750
017030,Brione,2019,variazioni_territoriali,0
017030,Brione,2020,variazioni_territoriali,0
017030,Brione,2021,variazioni_territoriali,0
017030,Brione,2022,variazioni_territoriali,0
017030,Brione,2023,variazioni_territoriali,0
017030,Brione,2024,variazioni_territoriali,0
017031,Caino,2019,aggiustamento_statistico,-4
017031,Caino,2020,aggiustamento_statistico,15
017031,Caino,2021,aggiustamento_statistico,-10
017031,Caino,2022,aggiustamento_statistico,4
017031,Caino,2023,aggiustamento_statistico,0
017031,Caino,2024,aggiustamento_statistico,1
017031,Caino,2019,emigrati_estero,5
017031,Caino,2020,emigrati_estero,2
017031,Caino,2021,emigrati_estero,2
017031,Caino,2022,emigrati_estero,2
017031,Caino,2023,emigrati_estero,11
017031,Caino,2024,emigrati_estero,13
017031,Caino,2019,emigrati_interni,90
017031,Caino,2020,emigrati_interni,80
017031,Caino,2021,emigrati_interni,67
017031,Caino,2022,emigrati_interni,79
017031,Caino,2023,emigrati_interni,46
017031,Caino,2024,emigrati_interni,68
017031,Caino,2019,immigrati_estero,14
017031,Caino,2020,immigrati_estero,15
017031,Caino,2021,immigrati_estero,6
017031,Caino,2022,immigrati_estero,15
017031,Caino,2023,immigrati_estero,16
017031,Caino,2024,immigrati_estero,9
017031,Caino,2019,immigrati_interni,95
017031,Caino,2020,immigrati_interni,61
017031,Caino,2021,immigrati_interni,98
017031,Caino,2022,immigrati_interni,86
017031,Caino,2023,immigrati_interni,67
017031,Caino,2024,immigrati_interni,76
017031,Caino,2019,morti,14
017031,Caino,2020,morti,19
017031,Caino,2021,morti,17
017031,Caino,2022,morti,13
017031,Caino,2023,morti,9
017031,Caino,2024,morti,20
017031,Caino,2019,nati,12
017031,Caino,2020,nati,15
017031,Caino,2021,nati,14
017031,Caino,2022,nati,14
017031,Caino,2023,nati,12
017031,Caino,2024,nati,17
017031,Caino,2019,popolazione_censita,2109
017031,Caino,2020,popolazione_censita,2114
017031,Caino,2021,popolazione_censita,2136
017031,Caino,2022,popolazione_censita,2161
017031,Caino,2023,popolazione_censita,2190
017031,Caino,2024,popolazione_censita,2192
017031,Caino,2019,popolazione_fine,2113
017031,Caino,2020,popolazione_fine,2099
017031,Caino,2021,popolazione_fine,2146
017031,Caino,2022,popolazione_fine,2157
017031,Caino,2023,popolazione_fine,2190
017031,Caino,2024,popolazione_fine,2191
017031,Caino,2019,popolazione_inizio,2101
017031,Caino,2020,popolazione_inizio,2109
017031,Caino,2021,popolazione_inizio,2114
017031,Caino,2022,popolazione_inizio,2136
017031,Caino,2023,popolazione_inizio,2161
017031,Caino,2024,popolazione_inizio,2190
017031,Caino,2019,variazioni_territoriali,0
017031,Caino,2020,variazioni_territoriali,0
017031,Caino,2021,variazioni_territoriali,0
017031,Caino,2022,variazioni_territoriali,0
017031,Caino,2023,variazioni_territoriali,0
017031,Caino,2024,variazioni_territoriali,0
017032,Calcinato,2019,aggiustamento_statistico,-11
017032,Calcinato,2020,aggiustamento_statistico,81
017032,Calcinato,2021,aggiustamento_statistico,-91
017032,Calcinato,2022,aggiustamento_statistico,7
017032,Calcinato,2023,aggiustamento_statistico,-20
017032,Calcinato,2024,aggiustamento_statistico,-9
017032,Calcinato,2019,emigrati_estero,89
017032,Calcinato,2020,emigrati_estero,119
017032,Calcinato,2021,emigrati_estero,91
017032,Calcinato,2022,emigrati_estero,91
017032,Calcinato,2023,emigrati_estero,35
017032,Calcinato,2024,emigrati_estero,56
017032,Calcinato,2019,emigrati_interni,355
017032,Calcinato,2020,emigrati_interni,371
017032,Calcinato,2021,emigrati_interni,385
017032,Calcinato,2022,emigrati_interni,366
017032,Calcinato,2023,emigrati_interni,337
017032,Calcinato,2024,emigrati_interni,395
017032,Calcinato,2019,immigrati_estero,144
017032,Calcinato,2020,immigrati_estero,73
017032,Calcinato,2021,immigrati_estero,95
017032,Calcinato,2022,immigrati_estero,99
017032,Calcinato,2023,immigrati_estero,132
017032,Calcinato,2024,immigrati_estero,122
017032,Calcinato,2019,immigrati_interni,445
017032,Calcinato,2020,immigrati_interni,328
017032,Calcinato,2021,immigrati_interni,367
017032,Calcinato,2022,immigrati_interni,370
017032,Calcinato,2023,immigrati_interni,372
017032,Calcinato,2024,immigrati_interni,356
017032,Calcinato,2019,morti,84
017032,Calcinato,2020,morti,144
017032,Calcinato,2021,morti,122
017032,Calcinato,2022,morti,110
017032,Calcinato,2023,morti,85
017032,Calcinato,2024,morti,104
017032,Calcinato,2019,nati,91
017032,Calcinato,2020,nati,107
017032,Calcinato,2021,nati,113
017032,Calcinato,2022,nati,98
017032,Calcinato,2023,nati,93
017032,Calcinato,2024,nati,97
017032,Calcinato,2019,popolazione_censita,13049
017032,Calcinato,2020,popolazione_censita,13004
017032,Calcinato,2021,popolazione_censita,12890
017032,Calcinato,2022,popolazione_censita,12897
017032,Calcinato,2023,popolazione_censita,13017
017032,Calcinato,2024,popolazione_censita,13028
017032,Calcinato,2019,popolazione_fine,13060
017032,Calcinato,2020,popolazione_fine,12923
017032,Calcinato,2021,popolazione_fine,12981
017032,Calcinato,2022,popolazione_fine,12890
017032,Calcinato,2023,popolazione_fine,13037
017032,Calcinato,2024,popolazione_fine,13037
017032,Calcinato,2019,popolazione_inizio,12908
017032,Calcinato,2020,popolazione_inizio,13049
017032,Calcinato,2021,popolazione_inizio,13004
017032,Calcinato,2022,popolazione_inizio,12890
017032,Calcinato,2023,popolazione_inizio,12897
017032,Calcinato,2024,popolazione_inizio,13017
017032,Calcinato,2019,variazioni_territoriali,0
017032,Calcinato,2020,variazioni_territoriali,0
017032,Calcinato,2021,variazioni_territoriali,0
017032,Calcinato,2022,variazioni_territoriali,0
017032,Calcinato,2023,variazioni_territoriali,0
017032,Calcinato,2024,variazioni_territoriali,0
017033,Calvagese della Riviera,2019,aggiustamento_statistico,-8
017033,Calvagese della Riviera,2020,aggiustamento_statistico,22
017033,Calvagese della Riviera,2021,aggiustamento_statistico,-1
017033,Calvagese della Riviera,2022,aggiustamento_statistico,-2
017033,Calvagese della Riviera,2023,aggiustamento_statistico,-7
017033,Calvagese della Riviera,2024,aggiustamento_statistico,-5
017033,Calvagese della Riviera,2019,emigrati_estero,19
017033,Calvagese della Riviera,2020,emigrati_estero,11
017033,Calvagese della Riviera,2021,emigrati_estero,13
017033,Calvagese della Riviera,2022,emigrati_estero,9
017033,Calvagese della Riviera,2023,emigrati_estero,8
017033,Calvagese della Riviera,2024,emigrati_estero,8
017033,Calvagese della Riviera,2019,emigrati_interni,138
017033,Calvagese della Riviera,2020,emigrati_interni,100
017033,Calvagese della Riviera,2021,emigrati_interni,123
017033,Calvagese della Riviera,2022,emigrati_interni,128
017033,Calvagese della Riviera,2023,emigrati_interni,117
017033,Calvagese della Riviera,2024,emigrati_interni,107
017033,Calvagese della Riviera,2019,immigrati_estero,34
017033,Calvagese della Riviera,2020,immigrati_estero,18
017033,Calvagese della Riviera,2021,immigrati_estero,35
017033,Calvagese della Riviera,2022,immigrati_estero,27
017033,Calvagese della Riviera,2023,immigrati_estero,30
017033,Calvagese della Riviera,2024,immigrati_estero,30
017033,Calvagese della Riviera,2019,immigrati_interni,153
017033,Calvagese della Riviera,2020,immigrati_interni,126
017033,Calvagese della Riviera,2021,immigrati_interni,168
017033,Calvagese della Riviera,2022,immigrati_interni,149
017033,Calvagese della Riviera,2023,immigrati_interni,131
017033,Calvagese della Riviera,2024,immigrati_interni,97
017033,Calvagese della Riviera,2019,morti,19
017033,Calvagese della Riviera,2020,morti,22
017033,Calvagese della Riviera,2021,morti,32
017033,Calvagese della Riviera,2022,morti,31
017033,Calvagese della Riviera,2023,morti,33
017033,Calvagese della Riviera,2024,morti,24
017033,Calvagese della Riviera,2019,nati,25
017033,Calvagese della Riviera,2020,nati,24
017033,Calvagese della Riviera,2021,nati,25
017033,Calvagese della Riviera,2022,nati,21
017033,Calvagese della Riviera,2023,nati,22
017033,Calvagese della Riviera,2024,nati,27
017033,Calvagese della Riviera,2019,popolazione_censita,3528
017033,Calvagese della Riviera,2020,popolazione_censita,3585
017033,Calvagese della Riviera,2021,popolazione_censita,3644
017033,Calvagese della Riviera,2022,popolazione_censita,3671
017033,Calvagese della Riviera,2023,popolazione_censita,3689
017033,Calvagese della Riviera,2024,popolazione_censita,3699
017033,Calvagese della Riviera,2019,popolazione_fine,3536
017033,Calvagese della Riviera,2020,popolazione_fine,3563
017033,Calvagese della Riviera,2021,popolazione_fine,3645
017033,Calvagese della Riviera,2022,popolazione_fine,3673
017033,Calvagese della Riviera,2023,popolazione_fine,3696
017033,Calvagese della Riviera,2024,popolazione_fine,3704
017033,Calvagese della Riviera,2019,popolazione_inizio,3500
017033,Calvagese della Riviera,2020,popolazione_inizio,3528
017033,Calvagese della Riviera,2021,popolazione_inizio,3585
017033,Calvagese della Riviera,2022,popolazione_inizio,3644
017033,Calvagese della Riviera,2023,popolazione_inizio,3671
017033,Calvagese della Riviera,2024,popolazione_inizio,3689
017033,Calvagese della Riviera,2019,variazioni_territoriali,0
017033,Calvagese della Riviera,2020,variazioni_territoriali,0
017033,Calvagese della Riviera,2021,variazioni_territoriali,0
017033,Calvagese della Riviera,2022,variazioni_territoriali,0
017033,Calvagese della Riviera,2023,variazioni_territoriali,0
017033,Calvagese della Riviera,2024,variazioni_territoriali,0
017034,Calvisano,2019,aggiustamento_statistico,-16
017034,Calvisano,2020,aggiustamento_statistico,-57
017034,Calvisano,2021,aggiustamento_statistico,24
017034,Calvisano,2022,aggiustamento_statistico,2
017034,Calvisano,2023,aggiustamento_statistico,3
017034,Calvisano,2024,aggiustamento_statistico,1
017034,Calvisano,2019,emigrati_estero,46
017034,Calvisano,2020,emigrati_estero,15
017034,Calvisano,2021,emigrati_estero,38
017034,Calvisano,2022,emigrati_estero,27
017034,Calvisano,2023,emigrati_estero,24
017034,Calvisano,2024,emigrati_estero,26
017034,Calvisano,2019,emigrati_interni,198
017034,Calvisano,2020,emigrati_interni,189
017034,Calvisano,2021,emigrati_interni,211
017034,Calvisano,2022,emigrati_interni,188
017034,Calvisano,2023,emigrati_interni,226
017034,Calvisano,2024,emigrati_interni,198
017034,Calvisano,2019,immigrati_estero,42
017034,Calvisano,2020,immigrati_estero,33
017034,Calvisano,2021,immigrati_estero,47
017034,Calvisano,2022,immigrati_estero,42
017034,Calvisano,2023,immigrati_estero,62
017034,Calvisano,2024,immigrati_estero,52
017034,Calvisano,2019,immigrati_interni,180
017034,Calvisano,2020,immigrati_interni,182
017034,Calvisano,2021,immigrati_interni,202
017034,Calvisano,2022,immigrati_interni,191
017034,Calvisano,2023,immigrati_interni,189
017034,Calvisano,2024,immigrati_interni,215
017034,Calvisano,2019,morti,48
017034,Calvisano,2020,morti,108
017034,Calvisano,2021,morti,83
017034,Calvisano,2022,morti,81
017034,Calvisano,2023,morti,66
017034,Calvisano,2024,morti,66
017034,Calvisano,2019,nati,65
017034,Calvisano,2020,nati,71
017034,Calvisano,2021,nati,65
017034,Calvisano,2022,nati,60
017034,Calvisano,2023,nati,68
017034,Calvisano,2024,nati,77
017034,Calvisano,2019,popolazione_censita,8452
017034,Calvisano,2020,popolazione_censita,8369
017034,Calvisano,2021,popolazione_censita,8375
017034,Calvisano,2022,popolazione_censita,8374
017034,Calvisano,2023,popolazione_censita,8380
017034,Calvisano,2024,popolazione_censita,8435
017034,Calvisano,2019,popolazione_fine,8468
017034,Calvisano,2020,popolazione_fine,8426
017034,Calvisano,2021,popolazione_fine,8351
017034,Calvisano,2022,popolazione_fine,8372
017034,Calvisano,2023,popolazione_fine,8377
017034,Calvisano,2024,popolazione_fine,8434
017034,Calvisano,2019,popolazione_inizio,8473
017034,Calvisano,2020,popolazione_inizio,8452
017034,Calvisano,2021,popolazione_inizio,8369
017034,Calvisano,2022,popolazione_inizio,8375
017034,Calvisano,2023,popolazione_inizio,8374
017034,Calvisano,2024,popolazione_inizio,8380
017034,Calvisano,2019,variazioni_territoriali,0
017034,Calvisano,2020,variazioni_territoriali,0
017034,Calvisano,2021,variazioni_territoriali,0
017034,Calvisano,2022,variazioni_territoriali,0
017034,Calvisano,2023,variazioni_territoriali,0
017034,Calvisano,2024,variazioni_territoriali,0
017035,Capo di Ponte,2019,aggiustamento_statistico,-7
017035,Capo di Ponte,2020,aggiustamento_statistico,-25
017035,Capo di Ponte,2021,aggiustamento_statistico,0
017035,Capo di Ponte,2022,aggiustamento_statistico,5
017035,Capo di Ponte,2023,aggiustamento_statistico,6
017035,Capo di Ponte,2024,aggiustamento_statistico,2
017035,Capo di Ponte,2019,emigrati_estero,5
017035,Capo di Ponte,2020,emigrati_estero,1
017035,Capo di Ponte,2021,emigrati_estero,7
017035,Capo di Ponte,2022,emigrati_estero,4
017035,Capo di Ponte,2023,emigrati_estero,5
017035,Capo di Ponte,2024,emigrati_estero,3
017035,Capo di Ponte,2019,emigrati_interni,60
017035,Capo di Ponte,2020,emigrati_interni,59
017035,Capo di Ponte,2021,emigrati_interni,70
017035,Capo di Ponte,2022,emigrati_interni,47
017035,Capo di Ponte,2023,emigrati_interni,67
017035,Capo di Ponte,2024,emigrati_interni,63
017035,Capo di Ponte,2019,immigrati_estero,9
017035,Capo di Ponte,2020,immigrati_estero,4
017035,Capo di Ponte,2021,immigrati_estero,5
017035,Capo di Ponte,2022,immigrati_estero,8
017035,Capo di Ponte,2023,immigrati_estero,12
017035,Capo di Ponte,2024,immigrati_estero,16
017035,Capo di Ponte,2019,immigrati_interni,60
017035,Capo di Ponte,2020,immigrati_interni,34
017035,Capo di Ponte,2021,immigrati_interni,36
017035,Capo di Ponte,2022,immigrati_interni,53
017035,Capo di Ponte,2023,immigrati_interni,48
017035,Capo di Ponte,2024,immigrati_interni,45
017035,Capo di Ponte,2019,morti,22
017035,Capo di Ponte,2020,morti,40
017035,Capo di Ponte,2021,morti,30
017035,Capo di Ponte,2022,morti,30
017035,Capo di Ponte,2023,morti,25
017035,Capo di Ponte,2024,morti,29
017035,Capo di Ponte,2019,nati,14
017035,Capo di Ponte,2020,nati,20
017035,Capo di Ponte,2021,nati,14
017035,Capo di Ponte,2022,nati,11
017035,Capo di Ponte,2023,nati,11
017035,Capo di Ponte,2024,nati,16
017035,Capo di Ponte,2019,popolazione_censita,2446
017035,Capo di Ponte,2020,popolazione_censita,2379
017035,Capo di Ponte,2021,popolazione_censita,2327
017035,Capo di Ponte,2022,popolazione_censita,2323
017035,Capo di Ponte,2023,popolazione_censita,2303
017035,Capo di Ponte,2024,popolazione_censita,2287
017035,Capo di Ponte,2019,popolazione_fine,2453
017035,Capo di Ponte,2020,popolazione_fine,2404
017035,Capo di Ponte,2021,popolazione_fine,2327
017035,Capo di Ponte,2022,popolazione_fine,2318
017035,Capo di Ponte,2023,popolazione_fine,2297
017035,Capo di Ponte,2024,popolazione_fine,2285
017035,Capo di Ponte,2019,popolazione_inizio,2457
017035,Capo di Ponte,2020,popolazione_inizio,2446
017035,Capo di Ponte,2021,popolazione_inizio,2379
017035,Capo di Ponte,2022,popolazione_inizio,2327
017035,Capo di Ponte,2023,popolazione_inizio,2323
017035,Capo di Ponte,2024,popolazione_inizio,2303
017035,Capo di Ponte,2019,variazioni_territoriali,0
017035,Capo di Ponte,2020,variazioni_territoriali,0
017035,Capo di Ponte,2021,variazioni_territoriali,0
017035,Capo di Ponte,2022,variazioni_territoriali,0
017035,Capo di Ponte,2023,variazioni_territoriali,0
017035,Capo di Ponte,2024,variazioni_territoriali,0
017036,Capovalle,2019,aggiustamento_statistico,0
017036,Capovalle,2020,aggiustamento_statistico,0
017036,Capovalle,2021,aggiustamento_statistico,0
017036,Capovalle,2022,aggiustamento_statistico,0
017036,Capovalle,2023,aggiustamento_statistico,0
017036,Capovalle,2024,aggiustamento_statistico,0
017036,Capovalle,2019,emigrati_estero,0
017036,Capovalle,2020,emigrati_estero,1
017036,Capovalle,2021,emigrati_estero,1
017036,Capovalle,2022,emigrati_estero,1
017036,Capovalle,2023,emigrati_estero,1
017036,Capovalle,2024,emigrati_estero,0
017036,Capovalle,2019,emigrati_interni,8
017036,Capovalle,2020,emigrati_interni,6
017036,Capovalle,2021,emigrati_interni,5
017036,Capovalle,2022,emigrati_interni,6
017036,Capovalle,2023,emigrati_interni,7
017036,Capovalle,2024,emigrati_interni,7
017036,Capovalle,2019,immigrati_estero,0
017036,Capovalle,2020,immigrati_estero,0
017036,Capovalle,2021,immigrati_estero,0
017036,Capovalle,2022,immigrati_estero,0
017036,Capovalle,2023,immigrati_estero,0
017036,Capovalle,2024,immigrati_estero,8
017036,Capovalle,2019,immigrati_interni,10
017036,Capovalle,2020,immigrati_interni,6
017036,Capovalle,2021,immigrati_interni,6
017036,Capovalle,2022,immigrati_interni,9
017036,Capovalle,2023,immigrati_interni,8
017036,Capovalle,2024,immigrati_interni,3
017036,Capovalle,2019,morti,8
017036,Capovalle,2020,morti,5
017036,Capovalle,2021,morti,2
017036,Capovalle,2022,morti,10
017036,Capovalle,2023,morti,5
017036,Capovalle,2024,morti,2
017036,Capovalle,2019,nati,2
017036,Capovalle,2020,nati,3
017036,Capovalle,2021,nati,1
017036,Capovalle,2022,nati,1
017036,Capovalle,2023,nati,3
017036,Capovalle,2024,nati,3
017036,Capovalle,2019,popolazione_censita,349
017036,Capovalle,2020,popolazione_censita,346
017036,Capovalle,2021,popolazione_censita,345
017036,Capovalle,2022,popolazione_censita,338
017036,Capovalle,2023,popolazione_censita,336
017036,Capovalle,2024,popolazione_censita,341
017036,Capovalle,2019,popolazione_fine,349
017036,Capovalle,2020,popolazione_fine,346
017036,Capovalle,2021,popolazione_fine,345
017036,Capovalle,2022,popolazione_fine,338
017036,Capovalle,2023,popolazione_fine,336
017036,Capovalle,2024,popolazione_fine,341
017036,Capovalle,2019,popolazione_inizio,353
017036,Capovalle,2020,popolazione_inizio,349
017036,Capovalle,2021,popolazione_inizio,346
017036,Capovalle,2022,popolazione_inizio,345
017036,Capovalle,2023,popolazione_inizio,338
017036,Capovalle,2024,popolazione_inizio,336
017036,Capovalle,2019,variazioni_territoriali,0
017036,Capovalle,2020,variazioni_territoriali,0
017036,Capovalle,2021,variazioni_territoriali,0
017036,Capovalle,2022,variazioni_territoriali,0
017036,Capovalle,2023,variazioni_territoriali,0
017036,Capovalle,2024,variazioni_territoriali,0
017037,Capriano del Colle,2019,aggiustamento_statistico,-20
017037,Capriano del Colle,2020,aggiustamento_statistico,30
017037,Capriano del Colle,2021,aggiustamento_statistico,2
017037,Capriano del Colle,2022,aggiustamento_statistico,-1
017037,Capriano del Colle,2023,aggiustamento_statistico,10
017037,Capriano del Colle,2024,aggiustamento_statistico,-3
017037,Capriano del Colle,2019,emigrati_estero,12
017037,Capriano del Colle,2020,emigrati_estero,25
017037,Capriano del Colle,2021,emigrati_estero,16
017037,Capriano del Colle,2022,emigrati_estero,8
017037,Capriano del Colle,2023,emigrati_estero,15
017037,Capriano del Colle,2024,emigrati_estero,15
017037,Capriano del Colle,2019,emigrati_interni,248
017037,Capriano del Colle,2020,emigrati_interni,163
017037,Capriano del Colle,2021,emigrati_interni,221
017037,Capriano del Colle,2022,emigrati_interni,167
017037,Capriano del Colle,2023,emigrati_interni,154
017037,Capriano del Colle,2024,emigrati_interni,160
017037,Capriano del Colle,2019,immigrati_estero,24
017037,Capriano del Colle,2020,immigrati_estero,16
017037,Capriano del Colle,2021,immigrati_estero,34
017037,Capriano del Colle,2022,immigrati_estero,43
017037,Capriano del Colle,2023,immigrati_estero,30
017037,Capriano del Colle,2024,immigrati_estero,35
017037,Capriano del Colle,2019,immigrati_interni,217
017037,Capriano del Colle,2020,immigrati_interni,218
017037,Capriano del Colle,2021,immigrati_interni,202
017037,Capriano del Colle,2022,immigrati_interni,216
017037,Capriano del Colle,2023,immigrati_interni,236
017037,Capriano del Colle,2024,immigrati_interni,166
017037,Capriano del Colle,2019,morti,35
017037,Capriano del Colle,2020,morti,44
017037,Capriano del Colle,2021,morti,38
017037,Capriano del Colle,2022,morti,36
017037,Capriano del Colle,2023,morti,45
017037,Capriano del Colle,2024,morti,32
017037,Capriano del Colle,2019,nati,28
017037,Capriano del Colle,2020,nati,30
017037,Capriano del Colle,2021,nati,27
017037,Capriano del Colle,2022,nati,33
017037,Capriano del Colle,2023,nati,39
017037,Capriano del Colle,2024,nati,39
017037,Capriano del Colle,2019,popolazione_censita,4581
017037,Capriano del Colle,2020,popolazione_censita,4643
017037,Capriano del Colle,2021,popolazione_censita,4633
017037,Capriano del Colle,2022,popolazione_censita,4713
017037,Capriano del Colle,2023,popolazione_censita,4814
017037,Capriano del Colle,2024,popolazione_censita,4844
017037,Capriano del Colle,2019,popolazione_fine,4601
017037,Capriano del Colle,2020,popolazione_fine,4613
017037,Capriano del Colle,2021,popolazione_fine,4631
017037,Capriano del Colle,2022,popolazione_fine,4714
017037,Capriano del Colle,2023,popolazione_fine,4804
017037,Capriano del Colle,2024,popolazione_fine,4847
017037,Capriano del Colle,2019,popolazione_inizio,4627
017037,Capriano del Colle,2020,popolazione_inizio,4581
017037,Capriano del Colle,2021,popolazione_inizio,4643
017037,Capriano del Colle,2022,popolazione_inizio,4633
017037,Capriano del Colle,2023,popolazione_inizio,4713
017037,Capriano del Colle,2024,popolazione_inizio,4814
017037,Capriano del Colle,2019,variazioni_territoriali,0
017037,Capriano del Colle,2020,variazioni_territoriali,0
017037,Capriano del Colle,2021,variazioni_territoriali,0
017037,Capriano del Colle,2022,variazioni_territoriali,0
017037,Capriano del Colle,2023,variazioni_territoriali,0
