codice_istat,comune,anno,indicatore,valore
017011,Barbariga,2024,popolazione_in_famiglia,2277
017011,Barbariga,2018,popolazione_residente,2287
017011,Barbariga,2019,popolazione_residente,2313
017011,Barbariga,2020,popolazione_residente,2300
017011,Barbariga,2021,popolazione_residente,2317
017011,Barbariga,2022,popolazione_residente,2330
017011,Barbariga,2023,popolazione_residente,2323
017011,Barbariga,2024,popolazione_residente,2300
017012,Barghe,2018,famiglie,468
017012,Barghe,2019,famiglie,466
017012,Barghe,2020,famiglie,459
017012,Barghe,2021,famiglie,460
017012,Barghe,2022,famiglie,464
017012,Barghe,2023,famiglie,468
017012,Barghe,2024,famiglie,468
017012,Barghe,2018,popolazione_in_famiglia,1175
017012,Barghe,2019,popolazione_in_famiglia,1160
017012,Barghe,2020,popolazione_in_famiglia,1143
017012,Barghe,2021,popolazione_in_famiglia,1138
017012,Barghe,2022,popolazione_in_famiglia,1137
017012,Barghe,2023,popolazione_in_famiglia,1141
017012,Barghe,2024,popolazione_in_famiglia,1157
017012,Barghe,2018,popolazione_residente,1175
017012,Barghe,2019,popolazione_residente,1160
017012,Barghe,2020,popolazione_residente,1143
017012,Barghe,2021,popolazione_residente,1138
017012,Barghe,2022,popolazione_residente,1137
017012,Barghe,2023,popolazione_residente,1141
017012,Barghe,2024,popolazione_residente,1157
017013,Bassano Bresciano,2018,famiglie,908
017013,Bassano Bresciano,2019,famiglie,917
017013,Bassano Bresciano,2020,famiglie,932
017013,Bassano Bresciano,2021,famiglie,934
017013,Bassano Bresciano,2022,famiglie,938
017013,Bassano Bresciano,2023,famiglie,935
017013,Bassano Bresciano,2024,famiglie,970
017013,Bassano Bresciano,2018,popolazione_in_convivenza,7
017013,Bassano Bresciano,2019,popolazione_in_convivenza,3
017013,Bassano Bresciano,2020,popolazione_in_convivenza,4
017013,Bassano Bresciano,2018,popolazione_in_famiglia,2290
017013,Bassano Bresciano,2019,popolazione_in_famiglia,2302
017013,Bassano Bresciano,2020,popolazione_in_famiglia,2322
017013,Bassano Bresciano,2021,popolazione_in_famiglia,2333
017013,Bassano Bresciano,2022,popolazione_in_famiglia,2334
017013,Bassano Bresciano,2023,popolazione_in_famiglia,2319
017013,Bassano Bresciano,2024,popolazione_in_famiglia,2367
017013,Bassano Bresciano,2018,popolazione_residente,2297
017013,Bassano Bresciano,2019,popolazione_residente,2305
017013,Bassano Bresciano,2020,popolazione_residente,2326
017013,Bassano Bresciano,2021,popolazione_residente,2333
017013,Bassano Bresciano,2022,popolazione_residente,2334
017013,Bassano Bresciano,2023,popolazione_residente,2319
017013,Bassano Bresciano,2024,popolazione_residente,2367
017014,Bedizzole,2018,famiglie,4984
017014,Bedizzole,2019,famiglie,4982
017014,Bedizzole,2020,famiglie,5175
017014,Bedizzole,2021,famiglie,5141
017014,Bedizzole,2022,famiglie,5146
017014,Bedizzole,2023,famiglie,5156
017014,Bedizzole,2024,famiglie,5168
017014,Bedizzole,2018,popolazione_in_convivenza,137
017014,Bedizzole,2019,popolazione_in_convivenza,135
017014,Bedizzole,2020,popolazione_in_convivenza,139
017014,Bedizzole,2021,popolazione_in_convivenza,141
017014,Bedizzole,2022,popolazione_in_convivenza,127
017014,Bedizzole,2023,popolazione_in_convivenza,105
017014,Bedizzole,2024,popolazione_in_convivenza,100
017014,Bedizzole,2018,popolazione_in_famiglia,12049
017014,Bedizzole,2019,popolazione_in_famiglia,11934
017014,Bedizzole,2020,popolazione_in_famiglia,12175
017014,Bedizzole,2021,popolazione_in_famiglia,12137
017014,Bedizzole,2022,popolazione_in_famiglia,12118
017014,Bedizzole,2023,popolazione_in_famiglia,12102
017014,Bedizzole,2024,popolazione_in_famiglia,12072
017014,Bedizzole,2018,popolazione_residente,12186
017014,Bedizzole,2019,popolazione_residente,12069
017014,Bedizzole,2020,popolazione_residente,12314
017014,Bedizzole,2021,popolazione_residente,12278
017014,Bedizzole,2022,popolazione_residente,12245
017014,Bedizzole,2023,popolazione_residente,12207
017014,Bedizzole,2024,popolazione_residente,12172
017015,Berlingo,2018,famiglie,1050
017015,Berlingo,2019,famiglie,1070
017015,Berlingo,2020,famiglie,1083
017015,Berlingo,2021,famiglie,1095
017015,Berlingo,2022,famiglie,1101
017015,Berlingo,2023,famiglie,1113
017015,Berlingo,2024,famiglie,1116
017015,Berlingo,2018,popolazione_in_convivenza,13
017015,Berlingo,2019,popolazione_in_convivenza,16
017015,Berlingo,2020,popolazione_in_convivenza,17
017015,Berlingo,2021,popolazione_in_convivenza,16
017015,Berlingo,2022,popolazione_in_convivenza,12
